Lugar de condena;Tipo de Delito;Periodo;
Total Nacional;7.3 Otros;2017;6
Total Nacional;7.3 Otros;2016;3
Total Nacional;7.3 Otros;2015;5
Total Nacional;7.3 Otros;2014;1
Total Nacional;7.3 Otros;2013;6
Total Nacional;8 Contra la libertad e indemnidad sexuales;2019;3.296
Total Nacional;8 Contra la libertad e indemnidad sexuales;2018;2.917
Total Nacional;8 Contra la libertad e indemnidad sexuales;2017;2.764
Total Nacional;8 Contra la libertad e indemnidad sexuales;2016;2.721
Total Nacional;8 Contra la libertad e indemnidad sexuales;2015;2.515
Total Nacional;8 Contra la libertad e indemnidad sexuales;2014;2.492
Total Nacional;8 Contra la libertad e indemnidad sexuales;2013;2.628
Total Nacional;12 Contra las relaciones familiares;2019;5.821
Total Nacional;12 Contra las relaciones familiares;2018;6.196
Total Nacional;12 Contra las relaciones familiares;2017;6.595
Total Nacional;12 Contra las relaciones familiares;2016;6.945
Total Nacional;12 Contra las relaciones familiares;2015;7.089
Total Nacional;12 Contra las relaciones familiares;2014;6.946
Total Nacional;12 Contra las relaciones familiares;2013;6.282
Total Nacional;12.3 Contra los derechos y deberes familiares;2019;5.810
Total Nacional;12.3 Contra los derechos y deberes familiares;2018;6.181
Total Nacional;12.3 Contra los derechos y deberes familiares;2017;6.581
Total Nacional;12.3 Contra los derechos y deberes familiares;2016;6.929
Total Nacional;12.3 Contra los derechos y deberes familiares;2015;7.071
Total Nacional;12.3 Contra los derechos y deberes familiares;2014;6.926
Total Nacional;12.3 Contra los derechos y deberes familiares;2013;6.270
Total Nacional;12.3.1 Quebrantamiento de los deberes de custodia;2019;31
Total Nacional;12.3.1 Quebrantamiento de los deberes de custodia;2018;42
Total Nacional;12.3.1 Quebrantamiento de los deberes de custodia;2017;56
Total Nacional;12.3.1 Quebrantamiento de los deberes de custodia;2016;58
Total Nacional;12.3.1 Quebrantamiento de los deberes de custodia;2015;56
Total Nacional;12.3.1 Quebrantamiento de los deberes de custodia;2014;37
Total Nacional;12.3.1 Quebrantamiento de los deberes de custodia;2013;35
Total Nacional;12.3.2 Sustracción de menores;2019;30
Total Nacional;12.3.2 Sustracción de menores;2018;41
Total Nacional;12.3.2 Sustracción de menores;2017;33
Total Nacional;12.3.2 Sustracción de menores;2016;35
Total Nacional;12.3.2 Sustracción de menores;2015;32
Total Nacional;12.3.2 Sustracción de menores;2014;35
Total Nacional;12.3.2 Sustracción de menores;2013;32
Total Nacional;12.3.3 Abandono de familia;2019;5.749
Total Nacional;12.3.3 Abandono de familia;2018;6.098
Total Nacional;12.3.3 Abandono de familia;2017;6.492
Total Nacional;12.3.3 Abandono de familia;2016;6.836
Total Nacional;12.3.3 Abandono de familia;2015;6.983
Total Nacional;12.3.3 Abandono de familia;2014;6.854
Total Nacional;12.3.3 Abandono de familia;2013;6.203
Total Nacional;12.99 Otros delitos contra las relaciones familiares;2019;11
Total Nacional;12.99 Otros delitos contra las relaciones familiares;2018;15
Total Nacional;12.99 Otros delitos contra las relaciones familiares;2017;14
Total Nacional;12.99 Otros delitos contra las relaciones familiares;2016;16
Total Nacional;12.99 Otros delitos contra las relaciones familiares;2015;18
Total Nacional;12.99 Otros delitos contra las relaciones familiares;2014;20
Total Nacional;12.99 Otros delitos contra las relaciones familiares;2013;12
Total Nacional;13 Contra el patrimonio y el orden socioeconómico;2019;141.686
Total Nacional;13 Contra el patrimonio y el orden socioeconómico;2018;142.426
Total Nacional;13 Contra el patrimonio y el orden socioeconómico;2017;136.992
Total Nacional;13 Contra el patrimonio y el orden socioeconómico;2016;122.647
Total Nacional;13 Contra el patrimonio y el orden socioeconómico;2015;74.790
Total Nacional;13 Contra el patrimonio y el orden socioeconómico;2014;64.620
Total Nacional;13 Contra el patrimonio y el orden socioeconómico;2013;60.645
Total Nacional;13.1 Hurtos;2019;71.671
Total Nacional;13.1 Hurtos;2018;70.102
Total Nacional;13.1 Hurtos;2017;63.721
Total Nacional;13.1 Hurtos;2016;55.282
Total Nacional;13.1 Hurtos;2015;20.611
Total Nacional;13.1 Hurtos;2014;11.606
Total Nacional;13.1 Hurtos;2013;10.751
Total Nacional;13.2 Robos;2019;24.004
Total Nacional;13.2 Robos;2018;25.756
Total Nacional;13.2 Robos;2017;27.713
Total Nacional;13.2 Robos;2016;28.758
Total Nacional;13.2 Robos;2015;29.499
Total Nacional;13.2 Robos;2014;30.815
Total Nacional;13.2 Robos;2013;30.509
Total Nacional;13.2.1 Robo con violencia;2019;7.271
Total Nacional;13.2.1 Robo con violencia;2018;7.263
Total Nacional;13.2.1 Robo con violencia;2017;7.535
Total Nacional;13.2.1 Robo con violencia;2016;7.882
Total Nacional;13.2.1 Robo con violencia;2015;8.187
Total Nacional;13.2.1 Robo con violencia;2014;8.755
Total Nacional;13.2.1 Robo con violencia;2013;9.169
Total Nacional;13.2.2 Robo con fuerza;2019;16.733
Total Nacional;13.2.2 Robo con fuerza;2018;18.493
Total Nacional;13.2.2 Robo con fuerza;2017;20.178
Total Nacional;13.2.2 Robo con fuerza;2016;20.876
Total Nacional;13.2.2 Robo con fuerza;2015;21.312
Total Nacional;13.2.2 Robo con fuerza;2014;22.060
Total Nacional;13.2.2 Robo con fuerza;2013;21.340
Total Nacional;13.4 Robo y hurto de uso de vehículo;2019;1.729
Total Nacional;13.4 Robo y hurto de uso de vehículo;2018;1.846
Total Nacional;13.4 Robo y hurto de uso de vehículo;2017;1.975
Total Nacional;13.4 Robo y hurto de uso de vehículo;2016;1.931
Total Nacional;13.4 Robo y hurto de uso de vehículo;2015;2.038
Total Nacional;13.4 Robo y hurto de uso de vehículo;2014;2.322
Total Nacional;13.4 Robo y hurto de uso de vehículo;2013;2.444
Total Nacional;13.5 Usurpación;2019;4.687
Total Nacional;13.5 Usurpación;2018;6.028
Total Nacional;13.5 Usurpación;2017;6.757
Total Nacional;13.5 Usurpación;2016;6.132
Total Nacional;13.5 Usurpación;2015;3.278
Total Nacional;13.5 Usurpación;2014;2.402
Total Nacional;13.5 Usurpación;2013;1.669
Total Nacional;13.6 Defraudaciones;2019;24.129
Total Nacional;13.6 Defraudaciones;2018;23.252
Total Nacional;13.6 Defraudaciones;2017;21.953
Total Nacional;13.6 Defraudaciones;2016;17.736
Total Nacional;13.6 Defraudaciones;2015;10.202
Total Nacional;13.6 Defraudaciones;2014;9.166
Total Nacional;13.6 Defraudaciones;2013;7.876
Total Nacional;13.6.1 Estafas;2019;17.241
Total Nacional;13.6.1 Estafas;2018;16.250
Total Nacional;13.6.1 Estafas;2017;15.407
Total Nacional;13.6.1 Estafas;2016;12.402
Total Nacional;13.6.1 Estafas;2015;6.904
Total Nacional;13.6.1 Estafas;2014;6.175
Total Nacional;13.6.1 Estafas;2013;5.251
Total Nacional;13.6.2 BIS Apropiación indebida;2019;5.084
Total Nacional;13.6.2 BIS Apropiación indebida;2018;5.082
Total Nacional;13.6.2 BIS Apropiación indebida;2017;4.862
Total Nacional;13.6.2 BIS Apropiación indebida;2016;4.163
Total Nacional;13.6.2 BIS Apropiación indebida;2015;2.702
Total Nacional;13.6.2 BIS Apropiación indebida;2014;2.511
Total Nacional;13.6.2 BIS Apropiación indebida;2013;2.243
Total Nacional;13.6.3 Defraudaciones de fluido eléctrico;2019;1.804
Total Nacional;13.6.3 Defraudaciones de fluido eléctrico;2018;1.920
Total Nacional;13.6.3 Defraudaciones de fluido eléctrico;2017;1.684
Total Nacional;13.6.3 Defraudaciones de fluido eléctrico;2016;1.171
Total Nacional;13.6.3 Defraudaciones de fluido eléctrico;2015;596
Total Nacional;13.6.3 Defraudaciones de fluido eléctrico;2014;480
Total Nacional;13.6.3 Defraudaciones de fluido eléctrico;2013;382
Total Nacional;13.9 Daños;2019;10.252
Total Nacional;13.9 Daños;2018;10.037
Total Nacional;13.9 Daños;2017;9.694
Total Nacional;13.9 Daños;2016;7.838
Total Nacional;13.9 Daños;2015;4.854
Total Nacional;13.9 Daños;2014;4.272
Total Nacional;13.9 Daños;2013;4.095
Total Nacional;13.14 Receptación y blanqueo de capitales;2019;2.936
Total Nacional;13.14 Receptación y blanqueo de capitales;2018;3.161
Total Nacional;13.14 Receptación y blanqueo de capitales;2017;3.021
Total Nacional;13.14 Receptación y blanqueo de capitales;2016;3.000
Total Nacional;13.14 Receptación y blanqueo de capitales;2015;2.733
Total Nacional;13.14 Receptación y blanqueo de capitales;2014;2.495
Total Nacional;13.14 Receptación y blanqueo de capitales;2013;2.009
Total Nacional;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2019;2.278
Total Nacional;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2018;2.244
Total Nacional;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2017;2.158
Total Nacional;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2016;1.970
Total Nacional;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2015;1.575
Total Nacional;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2014;1.542
Total Nacional;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2013;1.292
Total Nacional;17 Contra la seguridad colectiva;2019;103.257
Total Nacional;17 Contra la seguridad colectiva;2018;100.484
Total Nacional;17 Contra la seguridad colectiva;2017;98.021
Total Nacional;17 Contra la seguridad colectiva;2016;99.174
Total Nacional;17 Contra la seguridad colectiva;2015;102.164
Total Nacional;17 Contra la seguridad colectiva;2014;109.815
Total Nacional;17 Contra la seguridad colectiva;2013;114.951
Total Nacional;17.3 Contra la salud pública;2019;11.567
Total Nacional;17.3 Contra la salud pública;2018;11.087
Total Nacional;17.3 Contra la salud pública;2017;11.527
Total Nacional;17.3 Contra la salud pública;2016;11.996
Total Nacional;17.3 Contra la salud pública;2015;12.415
Total Nacional;17.3 Contra la salud pública;2014;12.851
Total Nacional;17.3 Contra la salud pública;2013;13.441
Total Nacional;17.4 Contra la seguridad vial;2019;91.413
Total Nacional;17.4 Contra la seguridad vial;2018;89.144
Total Nacional;17.4 Contra la seguridad vial;2017;86.200
Total Nacional;17.4 Contra la seguridad vial;2016;86.879
Total Nacional;17.4 Contra la seguridad vial;2015;89.445
Total Nacional;17.4 Contra la seguridad vial;2014;96.698
Total Nacional;17.4 Contra la seguridad vial;2013;101.271
Total Nacional;17.99 Otros delitos contra la seguridad colectiva;2019;277
Total Nacional;17.99 Otros delitos contra la seguridad colectiva;2018;253
Total Nacional;17.99 Otros delitos contra la seguridad colectiva;2017;294
Total Nacional;17.99 Otros delitos contra la seguridad colectiva;2016;299
Total Nacional;17.99 Otros delitos contra la seguridad colectiva;2015;304
Total Nacional;17.99 Otros delitos contra la seguridad colectiva;2014;266
Total Nacional;17.99 Otros delitos contra la seguridad colectiva;2013;239
Total Nacional;18 Falsedades;2019;8.757
Total Nacional;18 Falsedades;2018;8.499
Total Nacional;18 Falsedades;2017;7.783
Total Nacional;18 Falsedades;2016;7.921
Total Nacional;18 Falsedades;2015;7.453
Total Nacional;18 Falsedades;2014;7.376
Total Nacional;18 Falsedades;2013;6.770
Total Nacional;18.2 Falsedades documentales;2019;8.386
Total Nacional;18.2 Falsedades documentales;2018;8.100
Total Nacional;18.2 Falsedades documentales;2017;7.342
Total Nacional;18.2 Falsedades documentales;2016;7.577
Total Nacional;18.2 Falsedades documentales;2015;7.093
Total Nacional;18.2 Falsedades documentales;2014;7.017
Total Nacional;18.2 Falsedades documentales;2013;6.382
Total Nacional;18.2.1 Falsificación documentos públicos;2019;7.596
Total Nacional;18.2.1 Falsificación documentos públicos;2018;7.302
Total Nacional;18.2.1 Falsificación documentos públicos;2017;6.625
Total Nacional;18.2.1 Falsificación documentos públicos;2016;6.770
Total Nacional;18.2.1 Falsificación documentos públicos;2015;6.501
Total Nacional;18.2.1 Falsificación documentos públicos;2014;6.342
Total Nacional;18.2.1 Falsificación documentos públicos;2013;5.810
Total Nacional;18.2.2 Falsificación documentos privados;2019;637
Total Nacional;18.2.2 Falsificación documentos privados;2018;629
Total Nacional;18.2.2 Falsificación documentos privados;2017;581
Total Nacional;18.2.2 Falsificación documentos privados;2016;632
Total Nacional;18.2.2 Falsificación documentos privados;2015;414
Total Nacional;18.2.2 Falsificación documentos privados;2014;413
Total Nacional;18.2.2 Falsificación documentos privados;2013;347
Total Nacional;18.2.3 Falsificación de certificados;2019;86
Total Nacional;18.2.3 Falsificación de certificados;2018;95
Total Nacional;18.2.3 Falsificación de certificados;2017;66
Total Nacional;18.2.3 Falsificación de certificados;2016;86
Total Nacional;18.2.3 Falsificación de certificados;2015;81
Total Nacional;18.2.3 Falsificación de certificados;2014;104
Total Nacional;18.2.3 Falsificación de certificados;2013;75
Total Nacional;18.2.4 Falsificación de tarjetas de crédito;2019;67
Total Nacional;18.2.4 Falsificación de tarjetas de crédito;2018;74
Total Nacional;18.2.4 Falsificación de tarjetas de crédito;2017;70
Total Nacional;18.2.4 Falsificación de tarjetas de crédito;2016;89
Total Nacional;18.2.4 Falsificación de tarjetas de crédito;2015;97
Total Nacional;18.2.4 Falsificación de tarjetas de crédito;2014;158
Total Nacional;18.2.4 Falsificación de tarjetas de crédito;2013;150
Total Nacional;18.99 Otros delitos de las falsedades;2019;371
Total Nacional;18.99 Otros delitos de las falsedades;2018;399
Total Nacional;18.99 Otros delitos de las falsedades;2017;441
Total Nacional;18.99 Otros delitos de las falsedades;2016;344
Total Nacional;18.99 Otros delitos de las falsedades;2015;360
Total Nacional;18.99 Otros delitos de las falsedades;2014;359
Total Nacional;18.99 Otros delitos de las falsedades;2013;388
Total Nacional;19 Contra la Administración Pública;2019;1.770
Total Nacional;19 Contra la Administración Pública;2018;1.527
Total Nacional;19 Contra la Administración Pública;2017;1.678
Total Nacional;19 Contra la Administración Pública;2016;1.692
Total Nacional;19 Contra la Administración Pública;2015;1.591
Total Nacional;19 Contra la Administración Pública;2014;1.548
Total Nacional;19 Contra la Administración Pública;2013;1.588
Total Nacional;19.3 Desobediencia y denegación auxilio;2019;1.283
Total Nacional;19.3 Desobediencia y denegación auxilio;2018;1.163
Total Nacional;19.3 Desobediencia y denegación auxilio;2017;1.283
Total Nacional;19.3 Desobediencia y denegación auxilio;2016;1.250
Total Nacional;19.3 Desobediencia y denegación auxilio;2015;1.188
Total Nacional;19.3 Desobediencia y denegación auxilio;2014;1.194
Total Nacional;19.3 Desobediencia y denegación auxilio;2013;1.314
Total Nacional;19.99 Otros delitos contra la Administración Pública;2019;487
Total Nacional;19.99 Otros delitos contra la Administración Pública;2018;364
Total Nacional;19.99 Otros delitos contra la Administración Pública;2017;395
Total Nacional;19.99 Otros delitos contra la Administración Pública;2016;442
Total Nacional;19.99 Otros delitos contra la Administración Pública;2015;403
Total Nacional;19.99 Otros delitos contra la Administración Pública;2014;354
Total Nacional;19.99 Otros delitos contra la Administración Pública;2013;274
Total Nacional;20 Contra la Administración de Justicia;2019;20.435
Total Nacional;20 Contra la Administración de Justicia;2018;19.890
Total Nacional;20 Contra la Administración de Justicia;2017;19.993
Total Nacional;20 Contra la Administración de Justicia;2016;19.462
Total Nacional;20 Contra la Administración de Justicia;2015;19.140
Total Nacional;20 Contra la Administración de Justicia;2014;18.764
Total Nacional;20 Contra la Administración de Justicia;2013;17.117
Total Nacional;20.5 Acusación y denuncia falsa;2019;2.255
Total Nacional;20.5 Acusación y denuncia falsa;2018;2.562
Total Nacional;20.5 Acusación y denuncia falsa;2017;2.941
Total Nacional;20.5 Acusación y denuncia falsa;2016;3.221
Total Nacional;20.5 Acusación y denuncia falsa;2015;3.591
Total Nacional;20.5 Acusación y denuncia falsa;2014;3.418
Total Nacional;20.5 Acusación y denuncia falsa;2013;2.767
Total Nacional;20.5.1 Acusación y denuncias falsas;2019;434
Total Nacional;20.5.1 Acusación y denuncias falsas;2018;502
Total Nacional;20.5.1 Acusación y denuncias falsas;2017;553
Total Nacional;20.5.1 Acusación y denuncias falsas;2016;544
Total Nacional;20.5.1 Acusación y denuncias falsas;2015;560
Total Nacional;20.5.1 Acusación y denuncias falsas;2014;585
Total Nacional;20.5.1 Acusación y denuncias falsas;2013;500
Total Nacional;20.5.2 Simulación del delito;2019;1.821
Total Nacional;20.5.2 Simulación del delito;2018;2.060
Total Nacional;20.5.2 Simulación del delito;2017;2.388
Total Nacional;20.5.2 Simulación del delito;2016;2.677
Total Nacional;20.5.2 Simulación del delito;2015;3.031
Total Nacional;20.5.2 Simulación del delito;2014;2.833
Total Nacional;20.5.2 Simulación del delito;2013;2.267
Total Nacional;20.8 Quebrantamiento de condena;2019;17.182
Total Nacional;20.8 Quebrantamiento de condena;2018;16.326
Total Nacional;20.8 Quebrantamiento de condena;2017;15.894
Total Nacional;20.8 Quebrantamiento de condena;2016;15.144
Total Nacional;20.8 Quebrantamiento de condena;2015;14.499
Total Nacional;20.8 Quebrantamiento de condena;2014;14.180
Total Nacional;20.8 Quebrantamiento de condena;2013;13.412
Total Nacional;20.99 Otros delitos contra la Administración de Justicia;2019;998
Total Nacional;20.99 Otros delitos contra la Administración de Justicia;2018;1.002
Total Nacional;20.99 Otros delitos contra la Administración de Justicia;2017;1.158
Total Nacional;20.99 Otros delitos contra la Administración de Justicia;2016;1.097
Total Nacional;20.99 Otros delitos contra la Administración de Justicia;2015;1.050
Total Nacional;20.99 Otros delitos contra la Administración de Justicia;2014;1.166
Total Nacional;20.99 Otros delitos contra la Administración de Justicia;2013;938
Total Nacional;22 Contra el orden público;2019;15.170
Total Nacional;22 Contra el orden público;2018;14.944
Total Nacional;22 Contra el orden público;2017;14.753
Total Nacional;22 Contra el orden público;2016;14.394
Total Nacional;22 Contra el orden público;2015;13.745
Total Nacional;22 Contra el orden público;2014;13.317
Total Nacional;22 Contra el orden público;2013;12.744
Total Nacional;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2019;12.966
Total Nacional;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2018;13.198
Total Nacional;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2017;12.919
Total Nacional;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2016;12.768
Total Nacional;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2015;11.882
Total Nacional;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2014;11.797
Total Nacional;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2013;11.518
Total Nacional;22.2.1 Atentados contra la autoridad;2019;6.865
Total Nacional;22.2.1 Atentados contra la autoridad;2018;6.932
Total Nacional;22.2.1 Atentados contra la autoridad;2017;7.077
Total Nacional;22.2.1 Atentados contra la autoridad;2016;7.154
Total Nacional;22.2.1 Atentados contra la autoridad;2015;6.619
Total Nacional;22.2.1 Atentados contra la autoridad;2014;6.418
Total Nacional;22.2.1 Atentados contra la autoridad;2013;6.387
Total Nacional;22.2.2 Resistencia y desobediencia;2019;6.101
Total Nacional;22.2.2 Resistencia y desobediencia;2018;6.266
Total Nacional;22.2.2 Resistencia y desobediencia;2017;5.842
Total Nacional;22.2.2 Resistencia y desobediencia;2016;5.614
Total Nacional;22.2.2 Resistencia y desobediencia;2015;5.263
Total Nacional;22.2.2 Resistencia y desobediencia;2014;5.379
Total Nacional;22.2.2 Resistencia y desobediencia;2013;5.131
Total Nacional;22.99 Otros delitos contra el orden público;2019;2.204
Total Nacional;22.99 Otros delitos contra el orden público;2018;1.746
Total Nacional;22.99 Otros delitos contra el orden público;2017;1.834
Total Nacional;22.99 Otros delitos contra el orden público;2016;1.626
Total Nacional;22.99 Otros delitos contra el orden público;2015;1.863
Total Nacional;22.99 Otros delitos contra el orden público;2014;1.520
Total Nacional;22.99 Otros delitos contra el orden público;2013;1.226
Total Nacional;R Resto de delitos;2019;5.913
Total Nacional;R Resto de delitos;2018;6.063
Total Nacional;R Resto de delitos;2017;6.064
Total Nacional;R Resto de delitos;2016;5.840
Total Nacional;R Resto de delitos;2015;5.016
Total Nacional;R Resto de delitos;2014;4.155
Total Nacional;R Resto de delitos;2013;3.721
01 Andalucía;A Total Delitos;2019;77.303
01 Andalucía;A Total Delitos;2018;79.176
01 Andalucía;A Total Delitos;2017;76.097
01 Andalucía;A Total Delitos;2016;70.693
01 Andalucía;A Total Delitos;2015;55.998
01 Andalucía;A Total Delitos;2014;53.536
01 Andalucía;A Total Delitos;2013;54.881
01 Andalucía;1 Homicidio y sus formas;2019;191
01 Andalucía;1 Homicidio y sus formas;2018;219
01 Andalucía;1 Homicidio y sus formas;2017;217
01 Andalucía;1 Homicidio y sus formas;2016;247
01 Andalucía;1 Homicidio y sus formas;2015;197
01 Andalucía;1 Homicidio y sus formas;2014;212
01 Andalucía;1 Homicidio y sus formas;2013;264
01 Andalucía;1.1 Homicidio;2019;63
01 Andalucía;1.1 Homicidio;2018;75
01 Andalucía;1.1 Homicidio;2017;88
01 Andalucía;1.1 Homicidio;2016;104
01 Andalucía;1.1 Homicidio;2015;69
01 Andalucía;1.1 Homicidio;2014;91
01 Andalucía;1.1 Homicidio;2013;112
01 Andalucía;1.2 Asesinato;2019;39
01 Andalucía;1.2 Asesinato;2018;32
01 Andalucía;1.2 Asesinato;2017;26
01 Andalucía;1.2 Asesinato;2016;41
01 Andalucía;1.2 Asesinato;2015;40
01 Andalucía;1.2 Asesinato;2014;62
01 Andalucía;1.2 Asesinato;2013;53
01 Andalucía;1.3 Homicidio por imprudencia;2019;88
01 Andalucía;1.3 Homicidio por imprudencia;2018;111
01 Andalucía;1.3 Homicidio por imprudencia;2017;103
01 Andalucía;1.3 Homicidio por imprudencia;2016;102
01 Andalucía;1.3 Homicidio por imprudencia;2015;88
01 Andalucía;1.3 Homicidio por imprudencia;2014;59
01 Andalucía;1.3 Homicidio por imprudencia;2013;99
01 Andalucía;1.4 Inducción al suicidio;2019;1
01 Andalucía;1.4 Inducción al suicidio;2018;1
01 Andalucía;1.4 Inducción al suicidio;2017;0
01 Andalucía;1.4 Inducción al suicidio;2016;0
01 Andalucía;1.4 Inducción al suicidio;2015;""
01 Andalucía;1.4 Inducción al suicidio;2014;""
01 Andalucía;1.4 Inducción al suicidio;2013;0
01 Andalucía;3 Lesiones;2019;13.401
01 Andalucía;3 Lesiones;2018;13.744
01 Andalucía;3 Lesiones;2017;12.849
01 Andalucía;3 Lesiones;2016;10.735
01 Andalucía;3 Lesiones;2015;6.631
01 Andalucía;3 Lesiones;2014;5.775
01 Andalucía;3 Lesiones;2013;5.861
01 Andalucía;6 Contra la libertad;2019;6.239
01 Andalucía;6 Contra la libertad;2018;6.332
01 Andalucía;6 Contra la libertad;2017;6.027
01 Andalucía;6 Contra la libertad;2016;4.952
01 Andalucía;6 Contra la libertad;2015;2.846
01 Andalucía;6 Contra la libertad;2014;2.520
01 Andalucía;6 Contra la libertad;2013;2.361
01 Andalucía;6.2 Amenazas;2019;5.290
01 Andalucía;6.2 Amenazas;2018;5.434
01 Andalucía;6.2 Amenazas;2017;5.197
01 Andalucía;6.2 Amenazas;2016;4.300
01 Andalucía;6.2 Amenazas;2015;2.507
01 Andalucía;6.2 Amenazas;2014;2.196
01 Andalucía;6.2 Amenazas;2013;2.049
01 Andalucía;6.9 Coacciones y detenciones ilegales;2019;949
